	Mz	Description
198	505.33	"PPG, [A8B+Na]+, [C3H6O]nH2O, Polypropylene glycol, ubiquitous polyether"
199	507.33	"Triton, [AB6+Na]+, [C15H24O][C2H4O]n, 101 Detergents"
200	513.38	"Triton, reduced, [AB6+Na]+, [C15H30O][C2H4O]n, 101R Detergents"
201	515.36	"Triton, [AB7+H]+, [C14H22O][C2H4O]n, X-100, X-114, X-405, or X-45 Detergents"
202	515.41	"DDTDP, [M+H]+, C30H58O4S, Didodecyl 3,3?-thiodipropionate, antioxidant"
203	519.14	"Polysiloxane, [M+H]+, [C2H6SiO]7, Polysiloxane, followed by m/z 536"
204	521.31	"PPG, [A8B+K]+, [C3H6O]nH2O, Polypropylene glycol, ubiquitous polyether"
205	522.60	"SPDMA, [M-Cl]+, C36H76NCl, Stearyl-palmityldimethylammonium chloride, catalyst, personal care product additive"
206	525.29	"PEG, [A11B+Na]+, [C2H4O]nH2O, Polyethylene glycol, ubiquitous polyether"
207	529.37	"Triton, [AB7+H]+, [C15H24O][C2H4O]n, 101 Detergents"
208	531.41	"DDTDP, [M+H]+, C30H58O5S, Didodecyl 3,3?-thiodipropionate oxidized to sulfoxide, antioxidant"
209	531.48	"Irganox, [M+H]+, C35H62O3, Irganox 1076, antioxidant in synthetic polymers, antioxidant"
210	536.17	"Polysiloxane, [M+NH4]+, [C2H6SiO]7, Polysiloxane (see m/z 519)"
211	537.34	"Triton, [AB7+Na]+, [C14H22O][C2H4O]n, X-100, X-114, X-405, or X-45 Detergents"
212	537.88	"Acetic acid-Fe-O- complex, [M6-6H+3Fe+O]+, C2H4O2, during ESI with metal tips and acetic acid"
213	541.26	"PEG, [A11B+K]+, [C2H4O]nH2O, Polyethylene glycol, ubiquitous polyether"
214	541.39	"PPG, [A9B+H]+, [C3H6O]nH2O, Polypropylene glycol, ubiquitous polyether"
215	543.39	"Triton, reduced, [AB7+Na]+, [C14H28O][C2H4O]n, X-100R, X-114R, X-405R, or X-45R Detergents"
216	547.33	"PEG, [A12B+H]+, [C2H4O]nH2O, Polyethylene glycol, ubiquitous polyether"
217	547.40	"DDTDP, [M+H]+, C30H58O6S, Didodecyl 3,3?-thiodipropionate oxidized to sulfone, antioxidant"
218	550.63	"DSDMA, [M-Cl]+, C38H80NCl, Distearyldimethylammonium chloride, catalyst, personal care products additive"
219	551.36	"Triton, [AB7+Na]+, [C15H24O][C2H4O]n, 101 Detergents"
220	553.39	"DDTDP, [M+Na]+, C30H58O5S, Didodecyl 3,3?-thiodipropionate oxidized to sulfoxide, antioxidant"
221	553.46	"Irganox, [M+Na]+, C35H62O3, Irganox 1076, antioxidant in synthetic polymers, antioxidant"
222	555.89	"Acetic acid-Fe-O- complex, [M6-6H+H2O+3Fe+O]+, C2H4O2, during ESI with metal tips and acetic acid"
223	557.40	"Triton, reduced, [AB7+Na]+, [C15H30O][C2H4O]n, 101R Detergents"
224	559.38	"Triton, [AB8+H]+, [C14H22O][C2H4O]n, X-100, X-114, X-405, or X-45 Detergents"
225	563.38	"PPG, [A9B+Na]+, [C3H6O]nH2O, Polypropylene glycol, ubiquitous polyether"
226	568.14	"4-HCCA, [M3+H]+, C10H7NO3, matrix cluster, trimer"
227	569.31	"PEG, [A12B+Na]+, [C2H4O]nH2O, Polyethylene glycol, ubiquitous polyether"
228	573.40	"Triton, [AB8+H]+, [C15H24O][C2H4O]n, 101 Detergents"
229	577.13	"Polysiloxane, [M+H-CH4]+, [C2H6SiO]8, Polysiloxane, (neutral methane loss from m/z 593)"
230	579.35	"PPG, [A9B+K]+, [C3H6O]nH2O, Polypropylene glycol, ubiquitous polyether"
231	581.37	"Triton, [AB8+Na]+, [C14H22O][C2H4O]n, X-100, X-114, X-405, or X-45 Detergents"
232	585.29	"PEG, [A12B+K]+, [C2H4O]nH2O, Polyethylene glycol, ubiquitous polyether"
233	587.41	"Triton, reduced, [AB8+Na]+, [C14H28O][C2H4O]n, X-100R, X-114R, X-405R, or X-45R Detergents"
234	591.36	"PEG, [A13B+H]+, [C2H4O]nH2O, Polyethylene glycol, ubiquitous polyether"
235	593.16	"Polysiloxane, [M+H]+, [C2H6SiO]8, Polysiloxane, followed by m/z 610"
236	595.38	"Triton, [AB8+Na]+, [C15H24O][C2H4O]n, 101 Detergents"
237	597.90	"Acetic acid-Fe-O- complex, [M7-6H+3Fe+O]+, C2H4O2, during ESI with metal tips and acetic acid"
238	599.44	"PPG, [A10B+H]+, [C3H6O]nH2O, Polypropylene glycol, ubiquitous polyether"
239	601.43	"Triton, reduced, [AB8+Na]+, [C15H30O][C2H4O]n, 101R Detergents"
240	603.41	"Triton, [AB9+H]+, [C14H22O][C2H4O]n, X-100, X-114, X-405, or X-45 Detergents"
241	606.09	"4-HCCA, [M3+K]+, C10H7NO3, matrix cluster, trimer, potassiated"
242	610.18	"Polysiloxane, [M+NH4]+, [C2H6SiO]8, Polysiloxane (see m/z 593)"
243	613.34	"PEG, [A13B+Na]+, [C2H4O]nH2O, Polyethylene glycol, ubiquitous polyether"
244	615.40	"CHAPS, [M+H]+, C32H58N2O7S, 3-[(3-Cholamidopropyl)dimethylammonio]-1-propanesulfonate"
245	617.43	"Triton, [AB9+H]+, [C15H24O][C2H4O]n, 101 Detergents"
246	621.42	"PPG, [A10B+Na]+, [C3H6O]nH2O, Polypropylene glycol, ubiquitous polyether"
247	621.97	"Propionic acid Fe-O complex, [M6-6H+3Fe+O]+, C3H6O2, during ESI with metal tips and acetic acid"
248	625.39	"Triton, [AB9+Na]+, [C14H22O][C2H4O]n, X-100, X-114, X-405, or X-45 Detergents"
249	629.31	"PEG, [A13B+K]+, [C2H4O]nH2O, Polyethylene glycol, ubiquitous polyether"
250	631.44	"Triton, reduced, [AB9+Na]+, [C14H28O][C2H4O]n, X-100R, X-114R, X-405R, or X-45R Detergents"
251	635.38	"PEG, [A14B+H]+, [C2H4O]nH2O, Polyethylene glycol, ubiquitous polyether"
252	637.39	"PPG, [A10B+K]+, [C3H6O]nH2O, Polypropylene glycol, ubiquitous polyether"
253	639.41	"Triton, [AB9+Na]+, [C15H24O][C2H4O]n, 101 Detergents"
254	645.45	"Triton, reduced, [AB9+Na]+, [C15H30O][C2H4O]n, 101R Detergents"
255	647.44	"Triton, [AB10+H]+, [C14H22O][C2H4O]n, X-100, X-114, X-405, or X-45 Detergents"
256	651.15	"Polysiloxane, [M+H-CH4]+, [C2H6SiO]9, Polysiloxane, (neutral methane loss from m/z 667)"
